#Wavelength	Counts
1596.242	2176
1596.106	2069
1595.969	2115
1595.832	2076
1595.695	2120
1595.558	2050
1595.421	2118
1595.284	2053
1595.146	2123
1595.009	2060
1594.871	2117
1594.733	2062
1594.595	2121
1594.457	2067
1594.319	2129
1594.181	2069
1594.042	2120
1593.904	2081
1593.765	2117
1593.626	2062
1593.487	2120
1593.348	2060
1593.209	2116
1593.070	2064
1592.930	2122
1592.790	2072
1592.651	2133
1592.511	2060
1592.371	2125
1592.231	2071
1592.091	2140
1591.950	2066
1591.810	2115
1591.669	2074
1591.529	2122
1591.388	2078
1591.247	2106
1591.106	2075
1590.965	2111
1590.823	2069
1590.682	2106
1590.540	2065
1590.399	2115
1590.257	2070
1590.115	2119
1589.973	2068
1589.830	2104
1589.688	2073
1589.546	2113
1589.403	2064
1589.260	2106
1589.118	2054
1588.975	2113
1588.832	2075
1588.688	2119
1588.545	2079
1588.402	2123
1588.258	2065
1588.114	2123
1587.970	2063
1587.826	2112
1587.682	2057
1587.538	2124
1587.394	2072
1587.249	2108
1587.105	2058
1586.960	2113
1586.815	2069
1586.670	2121
1586.525	2072
1586.380	2128
1586.235	2069
1586.089	2117
1585.944	2062
1585.798	2110
1585.652	2070
1585.506	2108
1585.360	2070
1585.214	2117
1585.067	2057
1584.921	2109
1584.774	2061
1584.628	2126
1584.481	2065
1584.334	2112
1584.187	2067
1584.040	2100
1583.892	2062
1583.745	2129
1583.597	2053
1583.449	2115
1583.302	2066
1583.154	2115
1583.005	2083
1582.857	2123
1582.709	2070
1582.560	2127
1582.412	2046
1582.263	2120
1582.114	2061
1581.965	2109
1581.816	2072
1581.667	2114
1581.518	2069
1581.368	2117
1581.218	2071
1581.069	2124
1580.919	2061
1580.769	2117
1580.619	2061
1580.468	2112
1580.318	2053
1580.168	2108
1580.017	2047
1579.866	2104
1579.715	2052
1579.564	2108
1579.413	2078
1579.262	2108
1579.111	2062
1578.959	2115
1578.808	2078
1578.656	2122
1578.504	2047
1578.352	2112
1578.200	2060
1578.047	2108
1577.895	2062
1577.743	2103
1577.590	2070
1577.437	2114
1577.284	2061
1577.131	2122
1576.978	2068
1576.825	2123
1576.671	2058
1576.518	2117
1576.364	2070
1576.210	2106
1576.057	2047
1575.902	2112
1575.748	2065
1575.594	2112
1575.440	2054
1575.285	2122
1575.130	2057
1574.976	2127
1574.821	2068
1574.666	2115
1574.510	2049
1574.355	2114
1574.200	2048
1574.044	2109
1573.889	2063
1573.733	2115
1573.577	2057
1573.421	2112
1573.265	2054
1573.108	2111
1572.952	2067
1572.795	2127
1572.638	2065
1572.482	2113
1572.325	2065
1572.168	2114
1572.010	2053
1571.853	2114
1571.696	2065
1571.538	2113
1571.380	2065
1571.222	2111
1571.064	2060
1570.906	2128
1570.748	2062
1570.590	2111
1570.431	2055
1570.273	2127
1570.114	2047
1569.955	2128
1569.796	2051
1569.637	2121
1569.478	2066
1569.318	2124
1569.159	2055
1568.999	2111
1568.840	2065
1568.680	2127
1568.520	2057
1568.359	2117
1568.199	2064
1568.039	2123
1567.878	2057
1567.718	2116
1567.557	2056
1567.396	2121
1567.235	2063
1567.074	2115
1566.912	2070
1566.751	2139
1566.590	2086
1566.428	2136
1566.266	2088
1566.104	2163
1565.942	2113
1565.780	2181
1565.618	2118
1565.455	2182
1565.293	2134
1565.130	2191
1564.967	2139
1564.804	2201
1564.641	2138
1564.478	2192
1564.314	2124
1564.151	2184
1563.987	2135
1563.824	2177
1563.660	2141
1563.496	2195
1563.332	2130
1563.168	2184
1563.003	2132
1562.839	2194
1562.674	2136
1562.509	2198
1562.344	2131
1562.179	2197
1562.014	2147
1561.849	2186
1561.684	2109
1561.518	2199
1561.352	2132
1561.187	2183
1561.021	2143
1560.855	2196
1560.689	2130
1560.522	2194
1560.356	2135
1560.189	2204
1560.023	2129
1559.856	2202
1559.689	2136
1559.522	2186
1559.355	2122
1559.187	2190
1559.020	2118
1558.852	2187
1558.685	2116
1558.517	2182
1558.349	2131
1558.181	2184
1558.012	2122
1557.844	2174
1557.676	2119
1557.507	2187
1557.338	2111
1557.169	2183
1557.000	2112
1556.831	2184
1556.662	2138
1556.493	2182
1556.323	2127
1556.154	2189
1555.984	2124
1555.814	2186
1555.644	2104
1555.474	2198
1555.303	2126
1555.133	2188
1554.962	2110
1554.792	2174
1554.621	2116
1554.450	2189
1554.279	2111
1554.108	2183
1553.936	2130
1553.765	2192
1553.593	2121
1553.422	2208
1553.250	2109
1553.078	2184
1552.906	2118
1552.734	2183
1552.561	2118
1552.389	2193
1552.216	2116
1552.043	2187
1551.870	2120
1551.697	2174
1551.524	2128
1551.351	2192
1551.178	2118
1551.004	2179
1550.830	2120
1550.657	2183
1550.483	2116
1550.309	2175
1550.135	2117
1549.960	2183
1549.786	2112
1549.611	2181
1549.437	2114
1549.262	2184
1549.087	2128
1548.912	2197
1548.736	2161
1548.561	2339
1548.386	2520
1548.210	2516
1548.034	2169
1547.858	2190
