#Wavelength	Counts
1547.682	2111
1547.506	2180
1547.330	2118
1547.154	2178
1546.977	2117
1546.801	2181
1546.624	2122
1546.447	2174
1546.270	2111
1546.093	2186
1545.915	2117
1545.738	2184
1545.560	2122
1545.383	2175
1545.205	2116
1545.027	2171
1544.849	2113
1544.671	2183
1544.492	2115
1544.314	2172
1544.135	2118
1543.957	2170
1543.778	2134
1543.599	2180
1543.420	2107
1543.240	2169
1543.061	2124
1542.881	2172
1542.702	2109
1542.522	2170
1542.342	2125
1542.162	2179
1541.982	2095
1541.802	2171
1541.621	2101
1541.441	2180
1541.260	2093
1541.079	2176
1540.898	2104
1540.717	2162
1540.536	2110
1540.355	2167
1540.173	2109
1539.992	2167
1539.810	2105
1539.628	2163
1539.446	2099
1539.264	2157
1539.082	2102
1538.899	2172
1538.717	2095
1538.534	2167
1538.351	2090
1538.168	2149
1537.985	2104
1537.802	2163
1537.619	2106
1537.435	2164
1537.252	2113
1537.068	2159
1536.884	2106
1536.700	2159
1536.516	2091
1536.332	2160
1536.148	2088
1535.963	2150
1535.779	2093
1535.594	2151
1535.409	2105
1535.224	2168
1535.039	2105
1534.854	2160
1534.668	2093
1534.483	2168
1534.297	2098
1534.111	2157
1533.925	2079
1533.739	2144
1533.553	2091
1533.367	2142
1533.180	2090
1532.994	2146
1532.807	2090
1532.620	2148
1532.433	2098
1532.246	2152
1532.059	2089
1531.872	2161
1531.684	2093
1531.497	2149
1531.309	2092
1531.121	2140
1530.933	2078
1530.745	2148
1530.557	2083
1530.368	2138
1530.180	2078
1529.991	2152
1529.802	2077
1529.613	2150
1529.424	2077
1529.235	2137
1529.046	2074
1528.856	2153
1528.667	2086
1528.477	2135
1528.287	2084
1528.097	2127
1527.907	2073
1527.717	2135
1527.526	2067
1527.336	2133
1527.145	2066
1526.955	2134
1526.764	2064
1526.573	2132
1526.381	2060
1526.190	2120
1525.999	2063
1525.807	2120
1525.616	2079
1525.424	2099
1525.232	2052
1525.040	2112
1524.848	2035
1524.655	2108
1524.463	2038
1524.270	2103
1524.077	2057
1523.885	2114
1523.692	2068
1523.498	2111
1523.305	2058
1523.112	2116
1522.918	2059
1522.725	2114
1522.531	2058
1522.337	2124
1522.143	2042
1521.949	2115
1521.754	2050
1521.560	2108
1521.365	2053
1521.171	2109
1520.976	2050
1520.781	2109
1520.586	2059
1520.391	2110
1520.195	2043
1520.000	2106
1519.804	2053
1519.609	2111
1519.413	2042
1519.217	2121
1519.021	2043
1518.824	2123
1518.628	2064
1518.431	2120
1518.235	2059
1518.038	2119
1517.841	2045
1517.644	2107
1517.447	2064
1517.249	2120
1517.052	2043
1516.854	2112
1516.657	2048
1516.459	2115
1516.261	2052
1516.063	2106
1515.865	2058
1515.666	2136
1515.468	2052
1515.269	2109
1515.070	2047
1514.872	2124
1514.673	2045
1514.473	2120
1514.274	2063
1514.075	2107
1513.875	2058
1513.676	2108
1513.476	2052
1513.276	2121
1513.076	2061
1512.876	2123
1512.675	2051
1512.475	2114
1512.274	2054
1512.074	2109
1511.873	2052
1511.672	2125
1511.471	2073
1511.269	2118
1511.068	2065
1510.867	2115
1510.665	2061
1510.463	2117
1510.261	2065
1510.059	2101
1509.857	2060

