#Wavelength	Counts
1520976	2052
1520781	2123
1520586	2055
1520391	2110
1520195	2045
1520000	2109
1519804	2044
1519609	2115
1519413	2041
1519217	2115
1519021	2043
1518824	2120
1518628	2063
1518431	2125
1518235	2056
1518038	2116
1517841	2055
1517644	2109
1517447	2067
1517249	2112
1517052	2037
1516854	2115
1516657	2054
1516459	2108
1516261	2058
1516063	2114
1515865	2052
1515666	2127
1515468	2046
1515269	2106
1515070	2050
1514872	2121
1514673	2051
1514473	2126
1514274	2061
1514075	2109
1513875	2058
1513676	2114
1513476	2048
1513276	2125
1513076	2055
1512876	2114
1512675	2056
1512475	2106
1512274	2061
1512074	2108
1511873	2054
1511672	2119
1511471	2062
1511269	2103
1511068	2059
1510867	2107
1510665	2055
1510463	2119
1510261	2066
1510059	2111
1509857	2064

